# Katalog der Scan-Jobs: eine Zeile je Aufruf. Gelesen von `k-playbook scan`.
# Fields: job	tool	languages	candidates	sarif	output	timeout	workdir	args
#
# Katalog und Binary werden gemeinsam ausgerollt (make installer-sync überträgt beides in
# einem Schritt). Nötig ist das, weil eine Zeile mit falscher Spaltenzahl hart abgewiesen
# wird: ein altes Binary läse einen um eine Spalte erweiterten Katalog gar nicht mehr und
# brächte keinen Lauf mehr zustande.
#
# Der Eintrag eines Laufs ist das Werkzeug, der Job ist der Aufruf. Ein Werkzeug kann
# mehrere Jobs haben (trivy, gitleaks), einen (ruff) oder keinen (syft). In
# security-tools.tsv ginge das nicht: dort ist name der Schlüssel, zwei Zeilen trivy
# überschrieben sich.
#
# job        Eindeutiger Name, wird zum Dateinamen raw/<job>.sarif. Beginnt mit dem
#            Tool-Namen und muss review.ValidEntryName() genügen; hat ein Werkzeug nur
#            einen Job, ist der Name der Tool-Name selbst.
# tool       Eintrag aus security-tools.tsv. Von dort kommt, ob das Werkzeug vorhanden
#            ist, und über diese Spalte hängt der Job an seinem Eintrag im Lauf.
# languages  Komma-Liste der Projektsprachen wie in der Tool-Matrix, oder * für
#            sprachunabhängig. Passt keine zur Auswahl des Laufs, wird der Job
#            übersprungen — nicht als Fehlschlag gewertet.
# candidates Was unter dem Bezugspunkt des Jobs als Gegenstand in Frage kommt. Der
#            Ausführer zählt danach vor dem Aufruf die Kandidaten und schreibt die Zahl
#            an den Job in entries/<tool>.json. Ohne sie ist ein Ergebnis mit 0 Befunden
#            nicht zu lesen: „geprüft und sauber" und „gar nichts geprüft" schreiben
#            dieselbe Datei.
#              source    Dateien mit den Endungen der Sprachen aus languages.
#              any       alle Dateien unter dem Bezugspunkt. Ein Secret kann überall
#                        stehen.
#              manifest  Abhängigkeits-Manifeste (go.mod, requirements*.txt,
#                        pyproject.toml …), ebenfalls nach languages. Hier ist 0 die
#                        richtige Aussage „nichts zu prüfen" und kein Alarm.
#              none      keine Zählung; das Feld am Job bleibt ungesetzt.
#            Bezugspunkt ist der des Jobs: bei workdir module das Modul, sonst {target}.
#            Gezählt wird je Bezugspunkt und Sorte einmal im ganzen Lauf. Die Zahl ist
#            eine Obergrenze und keine Abdeckungsmessung: die werkzeugeigenen Ausschlüsse
#            aus args kennt die Zählung nicht, die generischen (k-playbook/,
#            k-playbook-local/results/) schon — verankert am Bezugspunkt, sonst fiele
#            installer/cmd/k-playbook/ mit heraus.
#            Warum eine eigene Spalte: die Sorte steht in keiner vorhandenen. languages
#            ist der Sprachfilter des Laufs, ihr * heißt „sprachunabhängig" und gerade
#            nicht „alle Dateien". Im Go-Code stünde die Zuordnung als Sonderfall je
#            Werkzeugname — genau das, was diese Auskunft vermeiden soll.
#            trivy-config ist die ausdrückliche Ausnahme und steht auf none: sein
#            Gegenstand sind IaC-Konfigurationen (Dockerfile, Terraform,
#            Kubernetes-Manifeste). Sie ohne trivys eigene Erkennungslogik abzugrenzen
#            wäre eine Näherung nach Dateinamensmuster, die eher Falschalarme erzeugte,
#            als dass sie einordnete.
# sarif      native (das Werkzeug kann SARIF selbst), convert (braucht einen Konverter)
#            oder none (erzeugt kein SARIF). Es läuft ausschließlich native; die
#            anderen werden mit Grund übersprungen, solange die Konverter fehlen.
#            Sonst läge unter raw/ rohes JSON mit der Endung .sarif.
# output     file, wenn das Werkzeug selbst nach {out} schreibt; stdout, wenn der
#            Ausführer den Strom dorthin umleiten muss. govulncheck ist dieser Fall.
# timeout    Obergrenze je Job als Go-Dauer (10m, 90s). Ohne sie hielte ein hängender
#            Scanner den ganzen Lauf auf.
# workdir    target oder module. Bei target ist das Arbeitsverzeichnis {target}, die
#            Projektwurzel — der Regelfall. Bei module braucht der Job ein
#            Modulverzeichnis: der Ausführer sucht die Module unter {target} und startet
#            den Job je gefundenem Modul einmal, mit dem Modul als Arbeitsverzeichnis.
#            Nötig ist das für Aufrufe wie govulncheck -format sarif ./..., die gar kein
#            Pfad-Argument haben: ./... wirkt relativ zum Arbeitsverzeichnis, und ein
#            Platzhalter in args bliebe dort unsichtbar. Bei genau einem Modul bleibt
#            alles wie bisher — ein Job, unveränderter Name; bei mehreren entsteht je
#            Modul ein Job mit abgeleitetem Namen (govulncheck-installer). Welches Modul
#            geprüft wurde, steht in jedem Fall am Job in entries/<tool>.json.
#            gosec stand zunächst auf target, weil es seine Verzeichnisse selbst sucht.
#            Nachgemessen prüft es so aber nichts: ohne Modulkontext kommt es über das
#            Importieren nicht hinaus und schreibt ein valides SARIF mit leerem
#            results-Array — 0 Befunde aus der Projektwurzel gegen 154 im Modul selbst.
# args       Der Aufruf ohne das Programm selbst, an Leerzeichen getrennt. Ein
#            einzelnes Argument darf deshalb kein Leerzeichen enthalten; die
#            Platzhalter werden erst nach dem Trennen ersetzt und dürfen welche tragen.
#
# Platzhalter:
#   {out}      Zieldatei unter raw/, absolut. Pflicht bei output file, verboten bei
#              output stdout.
#   {target}   project.repo_root aus der context-Ausgabe, absolut: die Projektwurzel.
#              Nicht das Verzeichnis, in dem jemand gerade steht — sonst hinge das
#              Ergebnis daran, wo der Lauf gestartet wurde. Bei workdir target ist es
#              zugleich das Arbeitsverzeichnis, bei workdir module fallen beide
#              auseinander und {target} meint weiter die Wurzel.
#   {module}   Das Modulverzeichnis dieses Jobs, absolut. Nur bei workdir module
#              zulässig; bei workdir target weist ParseScanners die Zeile ab, weil es
#              kein Modul gäbe, auf das der Platzhalter zeigen könnte. Pflicht ist er
#              nicht: govulncheck und golangci-lint brauchen ihn gerade nicht, weil das
#              Arbeitsverzeichnis schon stimmt. Er ist für Werkzeuge da, die den Pfad
#              als Argument nehmen.
#   {scripts}  Dieses Verzeichnis. Für Beigaben, die ein Aufruf braucht (gitleaks.toml).
#
# Die Ausschlüsse stehen in args und bekommen keine eigene Spalte. Jedes Werkzeug
# schreibt sie anders — ruff --exclude, trivy --skip-dirs, semgrep --exclude, grype
# --exclude — und gitleaks kennt dafür überhaupt kein Flag, sondern nur eine Allowlist
# in seiner Konfiguration (gitleaks.toml daneben). Eine eigene Spalte könnte deshalb
# nur dieselben werkzeugeigenen Bruchstücke tragen wie args: Struktur ohne Bedeutung.
# Trüge sie stattdessen allgemeine Muster, müsste der Ausführer sie je Werkzeug
# übersetzen — dann stünde der Aufruf wieder halb im Go-Code, und genau das soll diese
# Datei verhindern. Dazu kommt, dass die Stelle im Aufruf zum Aufruf gehört; beim
# Zusammensetzen aus zwei Spalten entschiede sie der Ausführer.
#
# Die Modulsuche hinter workdir module trägt eine eigene Ausschlussliste, und die steht
# im Go-Code (installer/internal/review/modules.go), nicht hier. Das widerspricht dem
# Abschnitt oben nicht: dort geht es um den Werkzeugausschluss, der in args bleibt, weil
# er zum Aufruf gehört und jedes Werkzeug ihn anders schreibt. Die Modulsuche ruft kein
# Werkzeug auf — sie sucht die Gegenstände, über die anschließend aufgefächert wird. Es
# gibt keinen Aufruf, in dem sie stehen könnte, und keine werkzeugeigene Schreibweise,
# die sie tragen müsste.
#
# Dasselbe gilt für die Kandidatenzählung hinter candidates: auch ihre Ausschlüsse stehen
# im Go-Code (installer/internal/review/candidates.go). Sie ruft ebenfalls kein Werkzeug
# auf, und sie kann nur die generischen Ausschlüsse anwenden — die werkzeugeigenen aus
# args sind ihr nicht zugänglich. Deshalb gilt: Kandidaten ≥ tatsächlich geprüfte
# Dateien.
#
# Ausgeschlossen wird überall dort, wo das Werkzeug es zulässt:
#   k-playbook/                die Installationskopie. Ihr ausgeliefertes Beispiel-
#                              material ist kein Code des Projekts.
#   k-playbook-local/results/  die Ergebnisse früherer Läufe. Ohne den Ausschluss
#                              fänden gitleaks und trufflehog im nächsten Lauf die
#                              Funde des vorigen in dessen eigenem SARIF wieder.
# Dazu für Python S101 (assert) und die Testverzeichnisse: an ~/dev/Aiva/kascada
# gemessen 97,3 % der Befunde, siehe docs/umbau.md, „Gemessen".
#
# Die gitleaks-Jobs nennen als Ziel . statt {target}, obwohl beides dasselbe
# Verzeichnis meint. Grund: gitleaks kann Pfade nur über reguläre Ausdrücke ausnehmen,
# und die laufen gegen den gemeldeten Pfad. Bei absolutem Ziel ist der absolut — in
# einem Projekt, das selbst k-playbook heißt, träfe ein Muster für die
# Installationskopie dann die ganze Projektwurzel, und der Lauf fände nichts mehr.
# Mit . sind die gemeldeten Pfade relativ zur Wurzel, und die Muster in gitleaks.toml
# greifen mit ^ genau dort, wo sie sollen.
#
# syft hat mit Absicht keine Zeile: es erzeugt eine SBOM und damit keine Befunde. Als
# Eintrag eines Laufs endet es deshalb als skipped mit Grund. docker ebenso — es ist
# ein Fallback für Container-Images, kein Scanner.
job	tool	languages	candidates	sarif	output	timeout	workdir	args
gitleaks-git	gitleaks	*	any	native	file	10m	target	git . --config {scripts}/gitleaks.toml --report-format sarif --report-path {out} --no-banner --log-level error
gitleaks-dir	gitleaks	*	any	native	file	10m	target	dir . --config {scripts}/gitleaks.toml --report-format sarif --report-path {out} --no-banner --log-level error
ruff	ruff	python	source	native	file	10m	target	check --isolated --select S --ignore S101 --exclude tests,test,testing,conftest.py,k-playbook,k-playbook-local/results --output-format sarif --output-file {out} {target}
semgrep	semgrep	python,go	source	native	file	20m	target	scan --config p/security-audit --metrics=off --sarif --sarif-output={out} --exclude=k-playbook --exclude=k-playbook-local/results --exclude=tests --exclude=test {target}
trivy-fs	trivy	*	manifest	native	file	15m	target	fs --format sarif --output {out} --skip-dirs k-playbook,k-playbook-local/results {target}
trivy-config	trivy	*	none	native	file	15m	target	config --format sarif --output {out} --skip-dirs k-playbook,k-playbook-local/results {target}
gosec	gosec	go	source	native	file	15m	module	-fmt=sarif -out={out} ./...
govulncheck	govulncheck	go	manifest	native	stdout	15m	module	-format sarif ./...
osv-scanner	osv-scanner	python,go	manifest	native	file	15m	target	scan source --recursive --format sarif --output-file {out} {target}
grype	grype	*	manifest	native	file	15m	target	dir:{target} --output sarif --file {out} --exclude ./k-playbook/** --exclude ./k-playbook-local/results/**
golangci-lint	golangci-lint	go	source	native	file	15m	module	run --output.sarif.path {out} --output.text.path stderr ./...
trufflehog-git	trufflehog	*	any	convert	stdout	15m	target	git file://{target} --json --no-update
pip-audit	pip-audit	python	manifest	convert	file	15m	target	--format json --output {out} --progress-spinner off
